Date,Open,High,Low,Close,Adj Close,Volume
2021-05-04,19.270000,19.469999,19.100000,19.459999,19.459999,1441000
2021-05-05,19.750000,19.879999,19.639999,19.709999,19.709999,934900
2021-05-06,20.299999,20.420000,20.070000,20.389999,20.389999,1140200
2021-05-07,20.320000,20.670000,20.320000,20.580000,20.580000,1038300
2021-05-10,21.190001,21.230000,21.049999,21.049999,21.049999,1596600
2021-05-11,20.930000,21.549999,20.900000,21.350000,21.350000,1565000
2021-05-12,21.930000,22.000000,21.389999,21.400000,21.400000,2705700
2021-05-13,21.490000,21.870001,21.400000,21.660000,21.660000,1673600
2021-05-14,21.100000,21.340000,20.870001,21.240000,21.240000,1820100
2021-05-17,21.700001,21.930000,21.530001,21.900000,21.900000,1267500
2021-05-18,21.790001,22.389999,21.790001,21.910000,21.910000,1650100
2021-05-19,21.139999,21.139999,20.639999,20.850000,20.850000,2114700
2021-05-20,20.930000,21.170000,20.850000,21.170000,21.170000,1200000
2021-05-21,21.230000,21.420000,21.190001,21.299999,21.299999,1308600
2021-05-24,21.270000,21.639999,21.110001,21.520000,21.520000,1205500
2021-05-25,21.580000,21.770000,21.370001,21.370001,21.370001,945400
2021-05-26,21.459999,21.760000,21.420000,21.760000,21.760000,913800
2021-05-27,21.969999,22.270000,21.959999,22.180000,22.180000,1480400
2021-05-28,22.049999,22.049999,21.730000,21.730000,21.730000,868800
2021-06-01,21.860001,21.910000,21.690001,21.790001,21.790001,718400
2021-06-02,21.990000,22.400000,21.980000,22.340000,22.340000,1278400
2021-06-03,22.299999,22.490000,22.129999,22.240000,22.240000,1022200
2021-06-04,22.980000,23.680000,22.930000,23.600000,23.600000,2969000
2021-06-07,23.680000,23.940001,23.600000,23.799999,23.799999,2672300
2021-06-08,24.240000,24.270000,23.969999,24.110001,24.110001,1471800
2021-06-09,23.459999,23.570000,23.379999,23.420000,23.420000,1484100
2021-06-10,23.540001,23.719999,23.469999,23.559999,23.559999,738000
2021-06-11,23.790001,23.920000,23.740000,23.900000,23.900000,560600
2021-06-14,24.110001,24.110001,23.930000,23.980000,23.980000,889900
2021-06-15,23.790001,23.900000,23.610001,23.750000,23.750000,1104900
2021-06-16,23.620001,23.750000,23.440001,23.620001,23.620001,1061600
2021-06-17,23.240000,23.360001,22.920000,22.980000,22.980000,1500900
2021-06-18,22.520000,22.520000,22.170000,22.180000,22.180000,2788500
2021-06-21,22.389999,22.610001,22.340000,22.600000,22.600000,675700
2021-06-22,22.500000,22.700001,22.370001,22.680000,22.680000,697400
2021-06-23,22.530001,22.670000,22.350000,22.410000,22.410000,820300
2021-06-24,22.500000,22.580000,22.309999,22.490000,22.490000,748000
2021-06-25,22.750000,22.820000,22.629999,22.650000,22.650000,739700
2021-06-28,22.860001,23.000000,22.799999,22.900000,22.900000,928700
2021-06-29,22.850000,23.000000,22.750000,22.830000,22.830000,971100
2021-06-30,22.690001,22.809999,22.610001,22.780001,22.780001,716400
2021-07-01,22.920000,23.120001,22.850000,22.969999,22.969999,1032900
2021-07-02,23.040001,23.139999,22.920000,23.049999,23.049999,664000
2021-07-06,20.799999,20.860001,20.320000,20.330000,20.330000,4327800
2021-07-07,20.639999,20.709999,20.410000,20.510000,20.510000,3866200
2021-07-08,19.840000,20.000000,19.469999,19.920000,19.920000,2615500
2021-07-09,20.299999,20.469999,20.219999,20.379999,20.379999,1896400
2021-07-12,20.270000,20.480000,20.260000,20.320000,20.320000,1280200
2021-07-13,20.610001,20.629999,20.379999,20.400000,20.400000,1734900
2021-07-14,20.520000,20.680000,20.469999,20.559999,20.559999,1457800
2021-07-15,20.459999,20.670000,20.459999,20.520000,20.520000,1383800
2021-07-16,20.629999,20.690001,20.309999,20.379999,20.379999,1926700
2021-07-19,20.299999,20.299999,19.719999,20.090000,20.090000,3197700
2021-07-20,20.000000,20.480000,19.830000,20.440001,20.440001,1760700
2021-07-21,20.370001,20.540001,20.270000,20.520000,20.520000,1176500
2021-07-22,20.230000,20.260000,19.889999,19.889999,19.889999,1099900
2021-07-23,19.760000,19.809999,19.469999,19.610001,19.610001,2020200
2021-07-26,19.299999,19.719999,19.299999,19.700001,19.700001,2535500
2021-07-27,19.280001,19.370001,19.070000,19.270000,19.270000,6127800
2021-07-28,19.190001,19.459999,19.070000,19.340000,19.340000,1715500
2021-07-29,19.610001,19.900000,19.590000,19.820000,19.820000,1011000
2021-07-30,19.650000,19.879999,19.620001,19.680000,19.680000,1055000
2021-08-02,19.840000,20.180000,19.840000,19.840000,19.840000,856600
2021-08-03,20.230000,20.570000,20.040001,20.559999,20.559999,2669900
2021-08-04,20.250000,20.270000,19.719999,19.719999,19.719999,1919100
2021-08-05,20.010000,20.190001,19.950001,20.100000,20.100000,1168300
2021-08-06,20.170000,20.290001,20.059999,20.110001,20.110001,1085100
2021-08-09,20.080000,20.080000,19.850000,19.870001,19.870001,1062400
2021-08-10,19.670000,19.760000,19.469999,19.740000,19.740000,891700
2021-08-11,19.870001,20.100000,19.870001,20.040001,20.040001,908300
2021-08-12,20.540001,20.639999,20.320000,20.500000,20.500000,1036200
2021-08-13,20.420000,20.639999,20.420000,20.500000,20.500000,561000
2021-08-16,20.299999,20.299999,20.059999,20.219999,20.219999,1137800
2021-08-17,19.840000,19.840000,19.410000,19.480000,19.480000,2658500
2021-08-18,19.459999,19.740000,19.379999,19.440001,19.440001,3203100
2021-08-19,19.080000,19.230000,18.889999,19.100000,19.100000,2186800
2021-08-20,18.799999,19.150000,18.740000,19.150000,19.150000,1309500
2021-08-23,18.480000,18.760000,18.480000,18.730000,18.730000,1616000
2021-08-24,18.879999,19.200001,18.850000,19.120001,19.120001,1332800
2021-08-25,19.150000,19.260000,19.070000,19.170000,19.170000,787400
2021-08-26,19.059999,19.129999,18.860001,18.900000,18.900000,684600
2021-08-27,19.180000,19.820000,19.180000,19.750000,19.750000,1310700
2021-08-30,19.889999,20.049999,19.760000,19.760000,19.760000,622200
2021-08-31,19.670000,19.700001,19.389999,19.680000,19.680000,1652200
2021-09-01,20.090000,20.250000,20.040001,20.180000,20.180000,1739600
2021-09-02,20.110001,20.160000,19.900000,19.910000,19.910000,1174200
2021-09-03,20.010000,20.219999,19.940001,20.200001,20.200001,668200
2021-09-07,20.110001,20.160000,19.750000,19.760000,19.760000,1296100
2021-09-08,19.860001,19.889999,19.639999,19.820000,19.820000,929400
2021-09-09,20.000000,20.270000,20.000000,20.209999,20.209999,895200
2021-09-10,20.379999,20.530001,20.260000,20.290001,20.290001,800000
2021-09-13,20.440001,20.490000,20.270000,20.440001,20.440001,636700
2021-09-14,20.670000,20.750000,20.490000,20.549999,20.549999,1113900
2021-09-15,20.950001,21.129999,20.850000,21.110001,21.110001,1794400
2021-09-16,20.940001,21.100000,20.850000,21.030001,21.030001,620900
2021-09-17,20.910000,21.049999,20.620001,20.680000,20.680000,1167200
2021-09-20,19.930000,20.070000,19.670000,19.889999,19.889999,1947000
2021-09-21,20.250000,20.510000,20.139999,20.469999,20.469999,2213300
2021-09-22,20.850000,21.299999,20.850000,21.200001,21.200001,1558100
2021-09-23,21.570000,22.090000,21.570000,22.070000,22.070000,1181800
2021-09-24,21.590000,21.879999,21.570000,21.799999,21.799999,1896800
2021-09-27,22.209999,22.950001,22.200001,22.809999,22.809999,5179400
2021-09-28,22.360001,22.559999,22.010000,22.070000,22.070000,2486100
2021-09-29,22.080000,22.400000,22.080000,22.330000,22.330000,819700
2021-09-30,22.400000,22.559999,22.260000,22.410000,22.410000,1686200
2021-10-01,22.500000,22.900000,22.480000,22.780001,22.780001,687800
2021-10-04,23.150000,23.200001,22.660000,22.719999,22.719999,1134800
2021-10-05,22.980000,23.200001,22.969999,23.129999,23.129999,897500
2021-10-06,22.219999,22.469999,22.110001,22.340000,22.340000,1666500
2021-10-07,24.620001,25.900000,24.610001,25.750000,25.750000,4969500
2021-10-08,25.639999,26.350000,25.639999,26.350000,26.350000,4366500
2021-10-11,27.670000,28.410000,27.340000,28.059999,28.059999,2851000
2021-10-12,29.500000,32.000000,29.480000,31.680000,31.680000,6394200
2021-10-13,32.849998,34.400002,32.520000,34.200001,34.200001,7337100
2021-10-14,32.990002,34.139999,32.580002,33.930000,33.930000,3622100
2021-10-15,33.980000,34.529999,33.869999,34.189999,34.189999,4529400
2021-10-18,34.139999,34.430000,33.630001,33.790001,33.790001,2139500
2021-10-19,32.439999,32.439999,31.700001,32.000000,32.000000,2679100
2021-10-20,32.490002,32.630001,32.180000,32.360001,32.360001,2526400
2021-10-21,33.570000,33.840000,33.290001,33.570000,33.570000,1663500
2021-10-22,32.599998,32.689999,31.940001,32.270000,32.270000,1344100
2021-10-25,32.099998,32.470001,32.029999,32.200001,32.200001,1255900
2021-10-26,33.779999,33.820000,33.049999,33.169998,33.169998,3200600
2021-10-27,32.790001,32.860001,32.250000,32.360001,32.360001,2306000
2021-10-28,31.730000,32.320000,31.700001,32.040001,32.040001,2015500
2021-10-29,32.000000,32.099998,31.480000,31.580000,31.580000,1807000
2021-11-01,32.759998,33.939999,32.709999,33.529999,33.529999,2391000
2021-11-02,32.439999,32.700001,31.610001,31.770000,31.770000,1960400
2021-11-03,31.730000,32.919998,31.719999,32.880001,32.880001,1417400
2021-11-04,32.709999,32.770000,32.389999,32.480000,32.480000,991700
2021-11-05,32.779999,33.029999,32.590000,32.759998,32.759998,1075000
2021-11-08,33.639999,34.330002,33.520000,34.080002,34.080002,1768700
2021-11-09,34.290001,34.360001,33.200001,33.610001,33.610001,1645600
2021-11-10,33.910000,34.709999,33.250000,33.459999,33.459999,1973700
2021-11-11,33.419998,33.860001,33.330002,33.590000,33.590000,1061600
2021-11-12,33.689999,33.730000,33.360001,33.570000,33.570000,1025200
2021-11-15,33.580002,33.980000,33.340000,33.570000,33.570000,954600
2021-11-16,34.490002,34.939999,34.360001,34.660000,34.660000,1645000
2021-11-17,35.099998,35.380001,34.910000,34.939999,34.939999,1308800
2021-11-18,33.740002,33.790001,32.509998,33.139999,33.139999,1614000
2021-11-19,32.990002,33.590000,32.900002,33.450001,33.450001,1083400
2021-11-22,32.320000,32.790001,31.870001,32.240002,32.240002,2449100
2021-11-23,32.900002,33.169998,32.490002,32.840000,32.840000,1181600
2021-11-24,32.299999,32.900002,32.130001,32.880001,32.880001,923800
2021-11-26,30.150000,30.549999,30.020000,30.360001,30.360001,985200
2021-11-29,30.700001,30.990000,30.270000,30.959999,30.959999,1293400
2021-11-30,30.719999,30.969999,30.309999,30.540001,30.540001,1143600
2021-12-01,31.959999,32.209999,31.250000,31.280001,31.280001,1823100
2021-12-02,31.830000,32.209999,31.570000,31.969999,31.969999,1444400
2021-12-03,32.000000,32.060001,31.090000,31.450001,31.450001,810100
2021-12-06,31.000000,31.049999,30.350000,30.799999,30.799999,2259500
2021-12-07,31.980000,32.150002,31.719999,31.850000,31.850000,1042600
2021-12-08,32.500000,32.880001,32.400002,32.610001,32.610001,752500
2021-12-09,32.490002,32.610001,32.090000,32.139999,32.139999,904100
2021-12-10,32.619999,32.810001,32.369999,32.750000,32.750000,474500
2021-12-13,32.240002,32.459999,31.690001,31.950001,31.950001,694300
2021-12-14,31.709999,31.969999,31.410000,31.690001,31.690001,1928500
2021-12-15,31.940001,32.180000,31.299999,32.150002,32.150002,1219400
2021-12-16,32.180000,32.299999,31.549999,31.629999,31.629999,856400
2021-12-17,30.160000,30.770000,30.030001,30.309999,30.309999,1178100
2021-12-20,29.240000,29.570000,28.870001,29.469999,29.469999,1214400
2021-12-21,29.879999,30.430000,29.879999,30.379999,30.379999,686400
2021-12-22,30.930000,31.520000,30.889999,31.500000,31.500000,404900
2021-12-23,31.160000,31.420000,31.100000,31.209999,31.209999,480300
2021-12-27,31.190001,31.790001,31.160000,31.780001,31.780001,678100
2021-12-28,32.080002,32.080002,31.600000,31.719999,31.719999,2110400
2021-12-29,31.600000,31.660000,31.450001,31.549999,31.549999,346900
2021-12-30,31.530001,31.660000,31.309999,31.330000,31.330000,481700
2021-12-31,32.180000,32.369999,32.049999,32.090000,32.090000,508400
2022-01-03,33.279999,33.599998,32.950001,33.480000,33.480000,1470600
2022-01-04,32.770000,33.000000,32.139999,32.230000,32.230000,1456300
2022-01-05,32.389999,32.720001,31.809999,31.950001,31.950001,969500
2022-01-06,32.500000,33.060001,32.369999,32.849998,32.849998,943900
2022-01-07,32.810001,32.919998,32.369999,32.880001,32.880001,598000
2022-01-10,33.380001,33.880001,33.330002,33.630001,33.630001,1077300
2022-01-11,33.639999,34.180000,33.450001,34.130001,34.130001,561200
2022-01-12,34.360001,34.700001,34.189999,34.320000,34.320000,609900
2022-01-13,34.470001,34.650002,33.860001,34.000000,34.000000,739800
2022-01-14,33.770000,34.520000,33.720001,34.500000,34.500000,876100
2022-01-18,33.889999,34.330002,33.720001,33.779999,33.779999,756000
2022-01-19,34.669998,35.080002,34.270000,34.299999,34.299999,2496600
2022-01-20,34.000000,34.900002,33.959999,34.029999,34.029999,1154000
2022-01-21,33.220001,33.470001,32.400002,32.619999,32.619999,1221800
2022-01-24,31.129999,31.530001,30.250000,31.510000,31.510000,1233600
2022-01-25,32.000000,32.500000,31.870001,31.900000,31.900000,1592300
2022-01-26,32.200001,32.389999,31.400000,31.750000,31.750000,781500
2022-01-27,32.590000,32.990002,32.410000,32.700001,32.700001,1360000
2022-01-28,32.700001,32.830002,32.180000,32.770000,32.770000,971900
2022-01-31,33.139999,33.970001,32.560001,33.759998,33.759998,1937300
2022-02-01,33.330002,33.570000,32.869999,33.400002,33.400002,607500
2022-02-02,33.470001,33.830002,33.410000,33.660000,33.660000,600200
2022-02-03,33.000000,33.700001,32.939999,33.110001,33.110001,827300
2022-02-04,32.639999,33.250000,32.639999,33.099998,33.099998,691400
2022-02-07,32.779999,33.060001,32.540001,32.799999,32.799999,707600
2022-02-08,32.709999,33.029999,32.439999,32.990002,32.990002,586400
2022-02-09,33.410000,34.500000,33.349998,34.029999,34.029999,1438900
2022-02-10,33.500000,33.880001,33.279999,33.360001,33.360001,695800
2022-02-11,32.959999,33.180000,31.950001,32.200001,32.200001,2510900
2022-02-14,31.150000,31.250000,30.570000,31.110001,31.110001,847400
2022-02-15,33.049999,33.349998,32.950001,33.200001,33.200001,925800
2022-02-16,32.810001,33.290001,32.810001,33.049999,33.049999,715900
2022-02-17,33.070000,33.220001,32.880001,32.970001,32.970001,732700
2022-02-18,32.820000,33.009998,32.580002,32.669998,32.669998,553800
2022-02-22,31.740000,32.130001,31.059999,31.549999,31.549999,999800
2022-02-23,31.780001,32.200001,30.870001,31.030001,31.030001,898500
2022-02-24,27.990000,29.379999,27.520000,29.360001,29.360001,1422900
2022-02-25,30.299999,31.000000,30.270000,30.799999,30.799999,1540000
2022-02-28,30.059999,30.570000,29.950001,30.290001,30.290001,527000
2022-03-01,29.940001,30.120001,28.590000,28.799999,28.799999,975500
2022-03-02,28.990000,29.980000,28.990000,29.889999,29.889999,989600
2022-03-03,28.940001,29.270000,27.879999,28.080000,28.080000,900100
2022-03-04,26.240000,26.650000,25.719999,26.330000,26.330000,3457300
2022-03-07,25.559999,25.840000,24.600000,24.750000,24.750000,1424000
2022-03-08,25.000000,25.680000,24.500000,24.900000,24.900000,2025500
2022-03-09,26.540001,26.910000,26.139999,26.639999,26.639999,1818900
2022-03-10,26.430000,26.860001,25.910000,26.120001,26.120001,1970600
2022-03-11,27.620001,27.639999,26.120001,26.200001,26.200001,2301600
2022-03-14,26.360001,26.700001,25.469999,25.770000,25.770000,2369000
2022-03-15,26.469999,27.770000,26.469999,27.600000,27.600000,1279000
2022-03-16,27.830000,28.459999,27.500000,28.459999,28.459999,996100
2022-03-17,28.010000,28.330000,27.709999,28.080000,28.080000,2882900
2022-03-18,28.000000,28.600000,27.879999,28.590000,28.590000,641300
2022-03-21,27.780001,27.889999,27.520000,27.820000,27.820000,416100
2022-03-22,28.770000,29.160000,28.530001,28.610001,28.610001,1333200
2022-03-23,28.049999,28.570000,28.049999,28.150000,28.150000,608500
2022-03-24,28.330000,28.650000,28.170000,28.580000,28.580000,685600
2022-03-25,28.330000,28.410000,28.000000,28.400000,28.400000,505700
2022-03-28,28.440001,28.700001,28.270000,28.540001,28.540001,329900
2022-03-29,28.990000,29.590000,28.990000,29.150000,29.150000,1183500
2022-03-30,28.690001,28.780001,28.030001,28.250000,28.250000,868000
2022-03-31,28.170000,28.340000,27.950001,27.950001,27.950001,1051700
2022-04-01,28.680000,29.230000,28.629999,29.219999,29.219999,710300
2022-04-04,29.530001,29.740000,29.410000,29.690001,29.690001,440700
2022-04-05,30.000000,30.330000,29.340000,29.510000,29.510000,1106200
2022-04-06,29.510000,29.820000,29.370001,29.650000,29.650000,1256000
2022-04-07,29.250000,29.510000,28.600000,29.219999,29.219999,2089200
2022-04-08,29.309999,30.459999,29.230000,30.150000,30.150000,1163200
2022-04-11,29.570000,29.850000,29.250000,29.320000,29.320000,824800
2022-04-12,28.870001,28.990000,28.200001,28.309999,28.309999,796700
2022-04-13,28.049999,28.139999,27.889999,27.980000,27.980000,534300
2022-04-14,27.910000,27.990000,27.580000,27.750000,27.750000,837000
2022-04-18,27.920000,28.730000,27.920000,28.549999,28.549999,434000
2022-04-19,27.639999,28.250000,27.570000,28.190001,28.190001,568300
2022-04-20,28.940001,29.170000,28.690001,28.830000,28.830000,480100
2022-04-21,29.350000,29.590000,28.900000,28.910000,28.910000,413100
2022-04-22,28.500000,28.610001,27.920000,28.090000,28.090000,447400
2022-04-25,27.500000,27.980000,27.350000,27.969999,27.969999,538500
2022-04-26,28.139999,28.240000,27.620001,27.670000,27.670000,628700
2022-04-27,27.990000,28.309999,27.530001,27.750000,27.750000,463800
2022-04-28,28.020000,28.570000,27.590000,28.450001,28.450001,544700
2022-04-29,28.480000,28.830000,28.139999,28.209999,28.209999,488800
2022-05-02,27.950001,28.299999,27.680000,28.290001,28.290001,398300
2022-05-03,28.150000,28.740000,28.150000,28.549999,28.549999,633900
